,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.6254546,-0.8430276,0.5754003,-0.4005528,-0.021902047,0.2708882,-0.08220269,-0.94859034,-0.4112002,-0.112980865,0.33894655,-0.80452853,-0.5864631,-0.13195,-0.40180546,0.026700003,-0.50369793,-0.5367891,-0.47262427,0.3443247,0.5659059,-0.002345271,0.6325471,-0.08526397,-0.15401848,0.2740337,-0.52993417,-0.10614934,-0.41275135,-0.39064297,-0.0019904727,0.19341145,-0.5206183,0.18474635,0.057569556,-0.24048938,0.15327112,0.14064063,0.0043103257,0.35449076,0.30974472,-0.34352407,-0.6824601,0.13941361,0.4727096,-0.5926866,0.5203597,-0.17142275,-0.6822434,0.2112926,-0.28671113,-0.19580318,-0.2185178,0.17840914,-0.16768692,0.20516485,0.5989127,-0.102097504,-0.6135228,0.557708,0.3717398,-0.47581166,0.540423,0.47315884
1,0.0023136232,0.015033869,0.010773702,-0.009229623,0.00019464456,-0.007262977,-0.009766048,-0.004047731,-4.12073e-05,0.011056868,-0.014883658,-0.012318134,0.01172887,7.731095e-05,-0.011720562,-0.0067784395,0.013864657,-0.015441185,-0.012262292,-0.013666693,0.014593419,0.0018083509,0.0014071576,0.006056886,0.013078127,-0.0140106175,-0.0023139361,0.009033,-0.008134479,-0.0023393054,-0.0019170474,0.002291035,0.00014827587,0.011089236,0.00089555606,-0.013967609,0.0016693491,-0.008960318,0.0038491562,0.006236138,0.005494958,-0.011669783,-0.01498278,0.01528755,0.0015334636,-0.011435408,0.009340905,0.012127323,0.00020935014,-0.0030906703,0.012579452,-0.0076072067,-0.009428589,0.0018739011,0.012993801,-0.0008882731,-0.009096259,0.005137937,0.0009605661,0.008273918,0.000496896,-0.014089396,-0.013225252,0.0026016254
2,0.9215685,-0.028024215,0.16193624,0.057219885,-0.15994988,-0.86574644,1.0617284,-0.22753648,-0.024686823,-0.2530957,0.028440177,-0.18452342,0.08830626,-0.59020686,-0.15120094,0.66324395,-0.269066,-0.26996544,-0.36753538,1.3855428,0.27198964,0.5975416,0.5553056,-0.84630275,-0.29933053,-0.21065208,-0.48420325,0.29698953,0.5581932,0.064728834,-0.21051653,0.6734521,-0.022095125,-0.22247803,0.23045158,-0.19775549,-0.4048955,-0.6394765,0.42753032,0.71753,-0.35042638,-0.27053955,0.004209438,0.38478348,0.23149197,-0.39196303,-0.3185805,0.012258919,0.018973969,0.7968163,-0.4260669,-0.36147958,-0.20287785,0.00592077,-0.20757832,0.6191732,-0.08637013,-0.30372664,0.3398087,-0.33672938,0.19926254,-0.5556764,0.8541044,0.7059246
3,0.87131274,-0.84803873,0.010693038,0.02278833,0.14397387,-0.40453976,0.09381677,0.16552888,-0.12212762,-0.43289867,0.76249427,0.16388176,-0.2747052,-0.6556723,0.4821163,0.8188053,-0.14431241,-0.54381174,0.37073833,0.46631783,0.62230617,0.25552824,0.9021159,-0.58714134,0.26209596,0.5313533,0.12132133,0.26710972,-0.204348,0.1898504,-0.12350336,0.011877827,0.45490193,-0.16965485,0.3036398,-0.27824327,-0.6285287,-0.5263357,0.22321011,-0.16611683,0.1963649,-0.3950321,-0.39950556,-0.28331482,0.7106553,-0.81194603,0.76040435,-0.10153402,-0.12957652,0.26008186,-0.2087255,-0.3704897,0.24980918,0.46599853,0.39542726,-0.04814944,0.16728385,0.47329786,-0.4965878,0.57235813,-0.6245878,-0.18066129,0.5668088,0.39682716
4,0.74140054,-0.3202908,-0.043721747,0.3811345,-0.28518417,-0.62085414,0.38462773,-0.9424893,0.043136634,0.40647498,0.6839383,-0.66432655,-0.39627472,-0.27506158,-0.09663296,0.42538866,0.090755746,-0.81185234,0.008560672,0.9262528,0.04937802,0.29888278,0.7055222,-0.26380426,0.070430905,0.76473904,0.2985007,0.206717,0.19282587,-0.08289318,0.5907632,0.6334954,-0.5556079,-0.7288973,-0.033359047,-0.8939824,0.71514183,-0.71500385,0.19921535,0.5651022,0.6138471,0.49869913,-0.61761224,0.3111119,0.5720567,0.07647289,0.3385648,-0.176823,0.60309106,0.6799593,0.010077806,-0.08808654,-0.020599855,-0.35757884,0.19905777,0.008494068,-0.0752875,-0.25863138,0.32380238,0.27668762,-0.45487002,-0.3787888,0.3101271,-0.07376374
5,0.98697126,-0.15153234,-0.07748639,0.58138865,-0.5335788,-0.5274476,0.5945012,-1.1388438,0.033302918,0.5674976,0.7880982,-0.76782906,-0.7828295,-0.37812886,-0.11777927,0.6614646,0.107524425,-1.0496813,0.10009119,0.7318586,-0.010553352,0.2654457,0.5300615,-0.34490705,-0.15796408,0.5226376,0.42520717,0.06461382,0.32344413,-0.20880261,0.6945582,0.82249427,-0.29525864,-0.86408055,0.15778843,-0.91592795,0.84517473,-0.8567484,0.07952234,0.5501013,0.20758446,0.5093454,-0.4443033,0.19661593,0.73409045,0.18905711,0.25415376,-0.15133071,0.59812856,0.52943015,-0.1123523,0.060290802,0.10367671,-0.3202317,0.56554174,0.02808181,0.059263613,-0.12428272,0.4412843,0.5605747,-0.65289587,-0.22816266,0.39759374,0.06567897
6,0.006924441,0.011358555,0.012995675,0.01283945,0.010947503,-0.006854875,0.0050014947,0.007452864,0.007013874,-0.0037247762,-0.0075836796,0.009375287,0.011541573,0.00973559,0.00323309,0.013970742,-0.0064585246,-0.0035798177,0.012020964,-0.0068587232,-0.006621808,-0.005091654,-0.013533359,6.86869e-05,0.0125333145,0.006599782,-0.0075874254,0.0089869145,0.006129658,0.0034874845,0.012066951,0.009114103,-0.012351358,0.0068916827,0.015431244,0.006932279,0.006825939,-0.013243711,-0.008122856,0.007502388,0.0023511592,-0.0022528935,-0.008872978,0.011751004,-0.00018444285,0.0032512657,0.010300491,-0.013678307,0.0018319488,-0.006104851,-0.0009373147,0.006483596,0.004883716,-0.0029597152,-0.0016554929,0.0013246592,0.00994632,-0.0036643483,-0.0060513355,-0.011596728,-0.01394376,-0.0071560238,-0.0014940612,-0.0046626125
7,0.35094574,-0.4879154,0.10264116,-0.15312324,-0.034477722,-0.8844625,0.26135108,-0.18695827,-0.047438335,-0.5832949,-0.026216839,-0.14348318,-0.23868069,-0.2477536,-0.50814617,0.30784988,-0.04030608,0.19110246,0.09712244,0.5235828,0.18440466,1.0088689,0.48212585,-0.06126463,-0.2602314,0.6720543,-0.8912975,0.16984978,-0.3111545,-0.19101861,-0.31922612,0.057141565,-0.127071,-0.62582785,-0.3555783,-0.31897557,0.32786018,-0.19747104,0.09769568,0.4262962,0.5055033,0.04004793,-0.71076256,-0.35969466,0.5856481,-0.5208652,-0.23886779,0.026365576,-0.018005911,-0.011167748,-0.04451942,0.44919991,-0.32536066,0.5337843,0.0138730295,0.7728062,0.46815294,-0.47463542,-0.41769692,0.94015783,-0.51891476,0.19873272,-0.22575858,0.45821887
8,-0.26574472,-0.478957,-0.77339417,-0.3249257,0.07378377,-0.45636702,0.19742748,-0.43938467,-0.28443044,-0.3936451,-0.31303272,-0.762045,-0.3207438,-0.51853293,-0.37655392,0.1961216,-0.059261702,-0.3752952,-0.18739173,0.8886727,0.7270092,-0.5716295,0.3401722,-0.67042714,-0.03321105,0.7974738,-0.19858518,0.79642475,-0.0314129,0.2759534,0.69236445,-0.46345195,-0.13997284,-0.26884863,-0.22104302,-0.40640092,0.08954072,-0.20712675,-0.08933532,0.14120577,0.43814403,-0.16910282,-0.5124824,0.23698516,0.5608096,-0.7612023,-0.015693698,-0.14594571,0.03288721,0.0073590493,-0.09375748,0.23380393,0.28089926,0.20965151,-0.49138355,0.03004366,0.4549686,-0.44128284,0.042429082,0.7014137,-0.39831793,-0.44137514,0.39337227,0.23578298
9,0.19228077,-0.59286046,0.36177534,-0.17555965,0.70594996,-0.988121,0.16307601,-0.06451445,0.32599315,-0.6855484,0.5753807,-0.6560401,-0.37651822,-0.32083347,-0.45366758,0.40920854,0.21433567,-0.054083064,0.40301442,1.0053505,0.80814886,0.36044785,0.20309718,-0.21073714,-0.60453564,0.3721675,-0.39479536,0.14104998,0.05658928,0.0003269279,0.040360745,0.08309163,-0.51579887,0.22712792,0.3308073,0.33717033,0.7502904,-0.24765255,0.49196476,-0.4735621,0.057350177,0.35746416,-0.09199322,-0.19959316,0.5336694,-0.48242423,0.5537067,0.12675653,-0.635388,-0.2306571,-0.4488636,-0.03701412,-0.059757646,0.18859005,0.13469422,-0.07643798,0.41309878,0.20239513,-0.16856506,-0.15041424,0.05665681,-0.6356175,0.6670434,-0.403438
